"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-05-19 16:49:20","10.1046/j.1439-0442.2001.00393.x",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 06:43:42","10.1021/jp809992g",5996253,9267295,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-18 01:13:22","10.1002/dap.30253",5995872,11283912,"Canada","Saint-Quentin","47.5119159","-67.3921287"
"2017-09-13 15:31:20","10.1038/nrmicro3028",11067570,34129659,"Canada","Sydney","46.1367899","-60.194224"
"2017-05-18 04:42:28","10.1002/dap.30253",211669,11295841,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-25 20:55:53","10.1093/beheco/arx008",7898046,24029153,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-15 18:14:57","10.1038/srep44170",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 09:27:13","10.1021/la501531g",6039614,9155401,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-15 05:55:04","10.1093/beheco/arx008",6476470,15175100,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-10 14:53:58","10.1177/0013164495055005017",6616522,5861885,"Canada","Halifax","44.648901","-63.5753354"
"2017-06-26 21:59:07","10.1001/jama.1957.02980290001001",1512054,16867752,"Canada","Calgary","51.0486151","-114.0708459"
"2017-06-16 08:09:36","10.1093/beheco/arx008",6476470,15341906,"Canada","Squamish","49.7016339","-123.1558121"
"2017-07-12 23:37:04","10.1126/science.aaa9092",412822,20666803,"Canada","Beaconsfield","45.4309308","-73.8682835"
"2017-05-02 08:01:16","10.1021/la500161e",6039526,9148521,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-01 05:00:39","10.1007/s11191-013-9647-9",9075288,13931938,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 07:41:14","10.1021/jp809992g",4984639,9272289,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-07 16:10:59","10.1063/1.107646",2940826,33519439,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 09:32:26","10.1063/1.4913415",5995337,19901185,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 10:52:24","10.1021/jp809992g",645245,9294394,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-09 23:01:18","10.1093/beheco/arx008",7898046,33900153,"Canada","Squamish","49.7016339","-123.1558121"
"2017-06-05 20:03:21","10.1149/1.1592373",789000,9112023,"Canada","Calgary","51.0486151","-114.0708459"
"2017-01-24 14:28:48","10.2979/jfolkrese.51.2.125",10,2061882,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-24 16:09:55","10.1038/nri.2015.9",5995383,28848987,"Canada","Saint-Quentin","47.5119159","-67.3921287"
"2017-05-02 22:49:43","10.1039/C6RA18897D",6033153,9231795,"Canada","Toronto","43.653226","-79.3831843"
"2017-08-09 04:24:49","10.2337/diacare.21.12.2191",11099537,39817,"Canada","Vancouver","49.2827291","-123.1207375"
"2017-05-30 20:52:24","10.1080/14616700802114217",7698643,424236,"Canada","Montréal","45.5016889","-73.567256"
"2017-09-09 23:46:23","10.1145/954587.954588",11933722,33903459,"Canada","Kitchener","43.450301","-80.4831917"
